0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Year
376,Dylan Cardwell,24,SAC,C,38,1,20.3,2.2,3.9,.568,0.0,0.0,.000,2.2,3.9,.571,.568,0.7,1.3,.531,3.2,4.3,7.5,1.4,0.7,1.3,0.8,3.4,5.1,,2026
377,Johnny Furphy,21,IND,SG,35,21,18.4,2.0,4.3,.470,0.7,2.0,.324,1.3,2.2,.603,.547,0.5,1.0,.486,0.9,3.5,4.4,1.2,0.6,0.2,0.8,1.9,5.1,,2026
378,Ochai Agbaji,25,2TM,SG,60,13,15.8,2.0,4.5,.438,0.5,2.0,.262,1.4,2.4,.586,.498,0.6,0.7,.829,0.8,1.5,2.3,0.8,0.4,0.3,0.5,1.5,5.0,,2026
378,Ochai Agbaji,25,TOR,SG,42,13,15.5,1.7,4.0,.424,0.3,1.5,.185,1.4,2.5,.571,.459,0.6,0.7,.862,0.8,1.5,2.3,0.7,0.4,0.3,0.5,1.8,4.3,,2026
378,Ochai Agbaji,25,BRK,SG,18,0,16.4,2.5,5.4,.464,1.1,3.2,.351,1.4,2.2,.625,.567,0.5,0.7,.750,0.7,1.6,2.3,0.8,0.3,0.3,0.7,0.9,6.6,,2026
379,Asa Newell,20,ATL,PF,40,1,11.1,2.0,3.7,.537,0.7,1.7,.391,1.3,2.0,.663,.628,0.4,0.6,.560,0.9,1.1,2.0,0.5,0.4,0.3,0.5,1.6,5.0,,2026
380,Jalen Pickett,26,DEN,SG,46,18,16.1,1.9,4.5,.424,1.0,2.5,.386,0.9,2.0,.473,.532,0.3,0.3,.867,0.4,1.9,2.3,2.3,0.3,0.1,0.7,0.9,5.0,,2026
381,John Poulakidas,22,DAL,SG,5,0,13.6,1.8,4.4,.409,1.4,3.8,.368,0.4,0.6,.667,.568,0.0,0.0,,0.2,2.0,2.2,0.6,0.6,0.0,0.4,2.2,5.0,,2026
382,Cormac Ryan,27,MIL,SG,4,0,10.0,1.5,3.8,.400,1.0,2.8,.364,0.5,1.0,.500,.533,1.0,1.3,.800,0.3,0.0,0.3,0.3,0.8,0.3,0.5,1.8,5.0,,2026
383,Baylor Scheierman,25,BOS,SG,69,18,18.0,1.8,4.0,.450,1.1,2.9,.386,0.7,1.1,.618,.590,0.3,0.3,.864,0.8,2.8,3.5,1.4,0.5,0.1,0.6,1.3,5.0,,2026
